SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Unit Cost,Unnamed: 8
1,20MM FLANGES,FL-20MM,MTR,Length (5 MTR),Accessory ,,1.39,
2,30MM FLANGES,FL-30MM,MTR,Length (5 MTR),Accessory ,,2.24,
3,40MM FLANGES,FL-40MM,MTR,Length (5 MTR),Accessory ,,3.79,
4,20MM CORNER,CR-20MM,NOS,BOX (200 NOS),Accessory ,,0.28,
5,30MM CORNER,CR-30MM,NOS,BOX (200 NOS),Accessory ,,0.24,
6,40MM CORNER,CR-40MM,NOS,BOX (200 NOS),Accessory ,,0.87,
7,20MM JOINT CLEAT,JC-20MM,MTR,Length (2 MTR),Accessory ,,1.55,
8,30MM JOINT CLEAT,JC-30MM,MTR,Length (2 MTR),Accessory ,,1.55,
9,40MM G CLAMPS,GC-40MM,NOS,BOX (200 NOS),Accessory ,,0.28,
10,S CLEATS,S-CLEATS,MTR,Length (1.2 MTR),Accessory ,,1.8,x
11,C CLEATS,C-CLEATS,MTR,Length (1.2 MTR),Accessory ,,1.47,x
12,0.55MM AGIS COIL (Z275),AGIS-0.55MM,KG,TON ,Raw-Material,UAE,3.225,
13,0.56MM AGIS COIL (Z275),AGIS-0.56MM,KG,TON ,Raw-Material,UAE,3.225,
14,0.60MM AGIS COIL (Z275),AGIS-0.60MM,KG,TON,Raw-Material,UAE,3.2,
15,0.70MM AGIS COIL (Z275),AGIS-0.70MM,KG,TON,Raw-Material,UAE,3.175,
16,0.80MM AGIS COIL (Z275),AGIS-0.80MM,KG,TON,Raw-Material,UAE,3.1,
17,0.90MM AGIS COIL (Z275),AGIS-0.90MM,KG,TON,Raw-Material,UAE,3.1,
18,1.00MM AGIS COIL (Z275),AGIS-1.00MM,KG,TON,Raw-Material,UAE,3.1,
19,1.10MM AGIS COIL (Z275),AGIS-1.10MM,KG,TON,Raw-Material,UAE,3.1,
20,1.20MM AGIS COIL (Z275),AGIS-1.20MM,KG,TON,Raw-Material,UAE,3.05,
21,0.55MM JSW COIL (Z275),JSW-0.55MM,KG,TON ,Raw-Material,INDIA,3.85,
22,0.56MM JSW COIL (Z275),JSW-0.56MM,KG,TON ,Raw-Material,INDIA,3.85,
23,0.60MM JSW COIL (Z275),JSW-0.60MM,KG,TON,Raw-Material,INDIA,3.85,
24,0.70MM JSW COIL (Z275),JSW-0.70MM,KG,TON,Raw-Material,INDIA,3.85,
25,0.80MM JSW COIL (Z275),JSW-0.80MM,KG,TON,Raw-Material,INDIA,3.85,
26,0.90MM JSW COIL (Z275),JSW-0.90MM,KG,TON,Raw-Material,INDIA,3.85,
27,1.00MM JSW COIL (Z275),JSW-1.00MM,KG,TON,Raw-Material,INDIA,3.85,
28,1.10MM JSW COIL (Z275),JSW-1.10MM,KG,TON,Raw-Material,INDIA,3.85,
29,1.20MM JSW COIL (Z275),JSW-1.20MM,KG,TON,Raw-Material,INDIA,3.85,
30,NOZZLE PLASMA,NOZZLE-P,NOS,NOS,Consumable,,9,
31,NOZZLE LASER,NOZZLE-L,NOS,NOS,Consumable,,9,
32,ELECTRODE PLASMA,ELECTRODE-P,NOS,NOS,Consumable,,9,
33,"CUTTER WHEEL 14""",CUTTER-14,NOS,NOS,Consumable,,11,
34,"CUTTER WHEEL 4.5"" (16DIA)",CUTTER-4.5,NOS,NOS,Consumable,,3,
35,"GRINDING WHEEL 4.5""",GRIND-4.5,NOS,NOS,Consumable,,1,
36,DRILL BIT 4 MM,DRILL-4MM,NOS,NOS,Consumable,,2.5,
37,DRILL BIT 10 MM,DRILL-10MM,NOS,NOS,Consumable,,6,
38,DRILL BIT 3.5 MM,DRILL-3.5MM,NOS,NOS,Consumable,,2.5,
39,EARPLUG,EARPLUG,NOS,NOS,SAFETY-ITEM,,0.6,
40,WELDING ROD 4MM,WELD-4MM,BOX,BOX,Consumable,,40,
41,WELDING ROD 3.2MM,WELD-3.2MM,BOX,BOX,Consumable,,45,
42,WELDING ROD 2.6MM GREEN,WELD-2.6MM,BOX,BOX,Consumable,,48,
43,TIE ROD CONNECTOR 8 MM,TR-CON-8MM,NOS,NOS,Accessory,,0.45,
44,TIE ROD CONNECTOR 10 MM,TR-CON-10MM,NOS,NOS,Accessory,,0.45,
45,TIE ROD (NOS) 10 MM,TR-10MM,NOS,1.5MTR,Accessory,,4.35,
46,TIE ROD (NOS) 8 MM,TR-8MM,NOS,1.5MTR,Accessory,,3.5,
47,GI NUT 10 MM,GI-NUT-10MM,KG,KG,Accessory,,7,
48,GI BOLT 10 MM,GI-BOLT-10MM,KG,KG,Accessory,,7,
49,PIANO HINGES,HINGE-PIANO,NOS,NOS,Accessory,,20,
50,GALVANIZED ANGLE 40/40,ANGLE-40x40,NOS,Length (5 MTR),Accessory,,63,
51,ANGLE 35/35 / 3 THICK,ANGLE-35x35-3,NOS,Length (5 MTR),Accessory,,33,
52,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4,NOS,Length (5 MTR),Accessory,,61,
53,ANGLE 25/25 / 2.5MM,ANGLE-25x25-2.5,NOS,Length (5 MTR),Accessory,,26,
54,THINNER,THINNER,LITER,LITER,Consumable,,8.62,
55,"BRUSH 2""",BRUSH-2,NOS,NOS,Consumable,,2,
56,"BRUSH 1""",BRUSH-1,NOS,NOS,Consumable,,1.8,
57,FUSE,FUSE,NOS,NOS,Consumable,,1,
58,CARBON 153,CARBON-153,NOS,NOS,Consumable,,10,
59,CARBON 203,CARBON-203,NOS,NOS,Consumable,,12,
60,CARBON 325,CARBON-325,NOS,NOS,Consumable,,10,
61,CARBON 51,CARBON-51,NOS,NOS,Consumable,,5,
62,CARBON PLAIN,CARBON-PLAIN,NOS,NOS,Consumable,,5,
63,CARBON (MITERSAW),CARBON-MITER,NOS,NOS,Consumable,,5,
64,GREASE 1 KG,CONS-GREASE-1KG,KG,KG,Consumable,,15,
65,GOOGLES,SAFETY-GOGGLES,NOS,NOS,SAFETY-ITEM,,5,
66,FIRE RATED GASKET,GASKET-FR,NOS,NOS,Accessory,,45,
67,"4"" RING",RING-4,NOS,NOS,Accessory,,1.35,
68,"6"" RING",RING-6,NOS,NOS,Accessory,,1.95,
69,"5"" RING",RING-5,NOS,NOS,Accessory,,1.55,
70,"10"" RING",RING-10,NOS,NOS,Accessory,,2.5,
71,GI ACCESS DOOR HANDLE,GI-DOOR-HANDLE,NOS,NOS,Accessory,,0.45,
72,C PATTI SHEET,C-PATTI-SHEET,NOS,NOS,Accessory,,0.9,
73,COPPER (SPOT WELDING TIP),COPPER-WELD-TIP,PCS,PCS,Consumable,,30,
74,DAMPER SPLIT,DAMPER-SPLIT,NOS,NOS,Accessory,,5.5,
75,"FLEXIBLE DUCT 6"" (7.5MTR/BX)",FLEX-DUCT-6,BX,BX,Accessory,,26,
76,MAKITA MACHINE SPARE PARTS,MAKITA-SPARES,SET,SET,Tool,,37.8,
77,FIRE RATED SEALANT - MUAYED,SEALANT-FR-MUAYED,NOS,NOS,Consumable,,20,
78,FIRE RATED SEALANT - PROGULF,SEALANT-FR-PROGULF,NOS,NOS,Consumable,,15,
79,RETAINING CAP (PLASMA MACHINE),RETAIN-CAP-PLASMA,NOS,NOS,Consumable,,142.86,
80,SHEILD (PLASMA MACHINE),SHIELD-PLASMA,NOS,NOS,Consumable,,76.2,
81,SWIRL RING,SWIRL-RING,NOS,NOS,Consumable,,120,
82,"GI ROUND VCD - 4""",VCD-GI-4,NOS,NOS,Accessory,,10,
83,"GI ROUND VCD - 10""",VCD-GI-10,NOS,NOS,Accessory,,12.5,
84,ALUM SPRAY PAINT,CONS-PAINT-AL,NOS,NOS,Consumable,,5,
85,FIRE RATED STICKER - MUAYED,STICKER-FR-MUAYED,NOS,NOS,Consumable,,6,
86,REDOXIDE 18 LTR,CONS-REDOXIDE-18L,LITER,18 LITRE,Consumable,,7.5,
87,"1"" DIA GI PIPE",GI-PIPE-1,NOS,NOS,Raw-Material,,80,
88,STANLEY CUTTER,STANLEY-CUTTER,NOS,NOS,Tool,,35,
89,HAMMER 200,HAMMER-200,NOS,NOS,Tool,,15,
90,WOODEN HAMMER,HAMMER-WOOD,NOS,NOS,Tool,,11,
91,WASTE CLOTH,CONS-WASTE-CLOTH,PKT,PKT,Consumable,,15,
92,HAND GLOVES,CONS-HAND-GLOVES,DZN,DZN,SAFETY-ITEM,,13,
93,VCD 300X200 S&C,VCD-300x200,NOS,NOS,Accessory,,30,
94,VCD 400X200 S&C,VCD-400x200,NOS,NOS,Accessory,,34,
95,VCD 250X150 S&C,VCD-250x150,NOS,NOS,Accessory,,24,
96,VCD 350X200 S&C,VCD-350x200,NOS,NOS,Accessory,,32,
97,RSA ANGLE 40X40X5MM THK (6M/LEN),RSA-ANGLE-40x40x5,NOS,Length (6 MTR),Raw-Material,,48,
98,RSA ANGLE 50X50X5MM THK (6M/LEN),RSA-ANGLE-50x50x5,NOS,Length (6 MTR),Raw-Material,,58,
99,ANGLE 50/50 / 4MM THICK,ANGLE-50x50-4-X1,NOS,Length (5 MTR),Accessory,,61.44,
