SI.,Product Name,Item Code,UOM,Purchase UOM,Product Category,Origin Rule,Purchase Cost
1,ALUMINIUM U. FLANGE 20MM,PI-ALU-UFL-20,MTR,Length (5 MTR),Accessory ,,1.75
2,ALUMINIUM JOINT. FLANGE 20MM (KS),PI-ALU-JFL-20KS,MTR,Length (5 MTR),Accessory ,,2.5
3,ALUMINIUM JOINT. FLANGE 20MM,PI-ALU-JFL-20,MTR,Length (5 MTR),Accessory ,,2.75
4,ALUMINIUM U FLANGE 20MM (KS),PI-ALU-UFL-20KS,MTR,Length (5 MTR),Accessory ,,1.8
5,ALUMINIUM CH. FLANGE 20MM (KS),PI-ALU-CHFL-20KS,MTR,Length (5 MTR),Accessory ,,2.2
6,ALUMINIUM CH. FLANGE 20MM,PI-ALU-CHFL-20,MTR,Length (5 MTR),Accessory ,,2.25
7,ALUMINIUM F. FLANGE 20MM,PI-ALU-FFL-20,MTR,Length (5 MTR),Accessory ,,2.3
8,PVC FLANGE 20MM,PI-PVC-FL-20,MTR,Length (5 MTR),Accessory ,,0.95
9,PVC H BAYONET,PI-PVC-HBAY,MTR,Length (5 MTR),Accessory ,,0.55
10,PVC U FLANGE,PI-PVC-UFL,MTR,Length (5 MTR),Accessory ,,1.25
11,PVC CORNER 20MM,PI-PVC-CR-20,NOS,BOX (200 NOS),Accessory ,,0.09
12,PVC CORNER 20MM PAL,PI-PVC-CR-20PAL,NOS,BOX (200 NOS),Accessory ,,0.15
13,PVC CORNER 30MM,PI-PVC-CR-30,NOS,BOX (200 NOS),Accessory ,,0.93
14,SEALANT GUN,PI-SEAL-GUN,NOS,NOS,Tool,,15
15,SEALANT (DR FIX PIDILITE) WHITE,PI-SEAL-DRFIX-W,BOX,BOX(24 NOS),Accessory ,,38
16,SEALANT (DR FIX PIDILITE) GRAY,PI-SEAL-DRFIX-G,BOX,BOX(24 NOS),Accessory ,,38
17,SEALANT (STAR ADHESIV) WHITE,PI-SEAL-STAR-W,BOX,BOX(24 NOS),Accessory ,,41
18,SEALANT (STAR ADHESIV) GRAY,PI-SEAL-STAR-G,BOX,BOX(24 NOS),Accessory ,,41
19,SEALANT PAL,PI-SEAL-PAL,BOX,BOX(24 NOS),Accessory ,,70
20,GI CORNER 20MM,PI-GI-CR-20,NOS,BOX (200 NOS),Accessory ,,0.07
21,GI CORNER 20MM-PAL,PI-GI-CR-20PAL,NOS,BOX (200 NOS),Accessory ,,0.12
22,UL TAPE 30 YARD - IDEAL,PI-ULT-30-IDEAL,NOS,NOS,Accessory ,,32
23,UL TAPE 60 YARD - MEIYUAN,PI-ULT-60-MEI,NOS,NOS,Accessory ,,50
24,UL TAPE 60 YARD - SHUR,PI-ULT-60-SHUR,NOS,NOS,Accessory ,,47
